URL: neverssl.com | Score: 18 | Entropy: 3.25163
URL: cashback-api-production.operacdn.com | Score: 57 | Entropy: 3.93758
URL: github.com | Score: 10 | Entropy: 3.32193
URL: api.github.com | Score: 15 | Entropy: 3.52164
URL: alive.github.com | Score: 10 | Entropy: 3.75
URL: github.com | Score: 10 | Entropy: 3.32193
URL: westus-0.in.applicationinsights.azure.com | Score: 15 | Entropy: 4.09233
URL: westus-0.in.applicationinsights.azure.com | Score: 15 | Entropy: 4.09233
URL: main.vscode-cdn.net | Score: 5 | Entropy: 3.57662
URL: main.vscode-cdn.net | Score: 5 | Entropy: 3.57662
URL: sitecheck.opera.com | Score: 26 | Entropy: 3.53689
URL: assets.msn.com | Score: 0 | Entropy: 2.95021
URL: fd.api.iris.microsoft.com | Score: 30 | Entropy: 3.41366
URL: arc.msn.com | Score: 10 | Entropy: 2.91398
URL: windows.msn.com | Score: 27 | Entropy: 3.10689
URL: www.msn.com | Score: 0 | Entropy: 2.66353
URL: api.individual.githubcopilot.com | Score: 25 | Entropy: 3.78064
URL: github.com | Score: 10 | Entropy: 3.32193
URL: ab-merchandise.opera-api.com | Score: 15 | Entropy: 3.78039
URL: merchandise.opera-api2.com | Score: 15 | Entropy: 3.79622
URL: main.vscode-cdn.net | Score: 5 | Entropy: 3.57662
URL: main.vscode-cdn.net | Score: 5 | Entropy: 3.57662
URL: mobile.events.data.microsoft.com | Score: 30 | Entropy: 3.80423
URL: ctldl.windowsupdate.com | Score: 32 | Entropy: 3.79509
URL: ctldl.windowsupdate.com | Score: 32 | Entropy: 3.79509
URL: main.vscode-cdn.net | Score: 5 | Entropy: 3.57662
URL: main.vscode-cdn.net | Score: 5 | Entropy: 3.57662
URL: my.microsoftpersonalcontent.com | Score: 35 | Entropy: 3.70809
URL: autoupdate.opera.com | Score: 20 | Entropy: 3.34644
URL: autoupdate.opera.com | Score: 20 | Entropy: 3.34644
URL: cashback-api-production.operacdn.com | Score: 57 | Entropy: 3.93758
URL: sitecheck.opera.com | Score: 26 | Entropy: 3.53689
URL: sitecheck.opera.com | Score: 26 | Entropy: 3.53689
URL: fe2cr.update.microsoft.com | Score: 30 | Entropy: 3.76718
URL: fe2cr.update.microsoft.com | Score: 30 | Entropy: 3.76718
URL: www.microsoft.com | Score: 25 | Entropy: 3.17512
URL: tas02.cws.update.microsoft.com | Score: 30 | Entropy: 3.87291
URL: tas02.cws.update.microsoft.com | Score: 30 | Entropy: 3.87291
URL: www.microsoft.com | Score: 25 | Entropy: 3.17512
URL: c.pki.goog | Score: 8 | Entropy: 2.72193
URL: c.pki.goog | Score: 8 | Entropy: 2.72193
URL: c.pki.goog | Score: 8 | Entropy: 2.72193
URL: x1.c.lencr.org | Score: 25 | Entropy: 3.18201
URL: api.individual.githubcopilot.com | Score: 25 | Entropy: 3.78064
URL: default.exp-tas.com | Score: 10 | Entropy: 3.82687
URL: default.exp-tas.com | Score: 10 | Entropy: 3.82687
URL: main.vscode-cdn.net | Score: 5 | Entropy: 3.57662
URL: main.vscode-cdn.net | Score: 5 | Entropy: 3.57662
